Newspaper,Date,Headline ,Content ,Human Summary,Genre
The Economic Times,"March 14, 2013",Puneet Bhatia: Delivering 7-fold return in industry that is struggling,Recognition of Puneet Bhatia's success in delivering a seven-fold return in a challenging industry.,Profile highlighting Puneet Bhatia's achievement of a substantial return in a demanding industry environment.,Business & Success
The Economic Times,"March 14, 2013","Nalco OFS may fetch government Rs 1,500 crore","Estimate that the Nalco Offer for Sale (OFS) may generate Rs 1,500 crore for the government.",Report on the expected revenue from the Offer for Sale (OFS) of Nalco shares.,Business & Finance
The Economic Times,"March 14, 2013","COAI, DoT differ on SC decision",Disagreement between COAI and DoT on a Supreme Court decision.,Coverage of conflicting views between COAI and DoT regarding a decision by the Supreme Court.,Telecom & Regulation
The Economic Times,"March 14, 2013",Chilly prices to be hotter as output falls,Anticipation of increased chili prices due to a decline in output.,Report on the projection of rising chili prices attributed to a reduction in output.,Agriculture & Markets
The Economic Times,"March 14, 2013",Govt finalises 20 names for top posts in PSU Banks,Government's finalization of 20 names for top leadership positions in PSU Banks.,Announcement of the government's selection of individuals for key roles in public sector banks.,Banking & Governance
The Economic Times,"March 14, 2013",20 Stalled highway projects get court go-ahead,Court approval granted to 20 previously stalled highway projects.,Report on the legal clearance for 20 highway projects that were previously halted.,Infrastructure & Legal
The Economic Times,"March 14, 2013",Government to revise investment thresholds for MSMEs,"Government's plan to revise investment thresholds for Micro, Small, and Medium Enterprises (MSMEs).",Coverage of the government's intention to update investment criteria for MSMEs.,Business & Policy
The Economic Times,"March 14, 2013",Thermal Power plants worried about Indonesian coal curbs,Concerns among thermal power plants regarding potential restrictions on Indonesian coal.,Report on apprehensions within thermal power plants regarding potential limitations on Indonesian coal supply.,Energy & Trade
The Economic Times,"March 14, 2013",West Bengal plans to procure 1 lakh tonne potato to bail out farmers,West Bengal's initiative to procure 1 lakh tonne of potatoes to support distressed farmers.,Coverage of West Bengal's effort to purchase a significant quantity of potatoes to aid struggling farmers.,Agriculture & Support
The Economic Times,"Nov 14, 2013",Congress leaders thank Sonia Gandhi for accepting demand for Telangana,Congress leaders express gratitude to Sonia Gandhi for agreeing to the demand for the creation of Telangana.,Report on Congress leaders thanking Sonia Gandhi for accepting the demand for the formation of Telangana.,Politics & Governance
The Economic Times,"Nov 14, 2013","Etihad starts two more flights from Mumbai, Delhi to Abu Dhabi",Etihad Airways launches additional flights connecting Mumbai and Delhi to Abu Dhabi.,"Coverage of Etihad Airways commencing two more flights between Mumbai, Delhi, and Abu Dhabi.",Aviation & Travel
The Economic Times,"Nov 14, 2013",Tiger cub found dead at Bandhavgarh reserve,Discovery of a dead tiger cub at Bandhavgarh reserve.,Report on the unfortunate finding of a deceased tiger cub at the Bandhavgarh reserve.,Wildlife & Conservation
The Economic Times,"Nov 14, 2013",Lessons to be learnt from the failed Reliance-LyondellBasell deal,Analysis of lessons to be learned from the unsuccessful deal between Reliance and LyondellBasell.,Discussion on the insights and takeaways from the failed deal between Reliance and LyondellBasell.,Business & Strategy
The Economic Times,"Nov 14, 2013",6 elephants crushed on Dooars tracks,Tragic incident of six elephants being crushed on the tracks in Dooars.,Report on the unfortunate incident of six elephants being crushed by a train in Dooars.,Wildlife & Railway
The Economic Times,"Nov 14, 2013",Green detector for building material,Introduction of a green detector for assessing the environmental impact of building materials.,Coverage of the new green detector designed to evaluate the environmental impact of various building materials.,Environmental Tech
The Economic Times,"Nov 14, 2013",Rural Gujarat adopts lac for non-stick cookware,Adoption of lac (resin) for the production of non-stick cookware in rural Gujarat.,Report on the use of lac in rural Gujarat for manufacturing non-stick cookware.,Rural Development & Innovation
The Economic Times,"Nov 14, 2013",Forecasting & Economics,Feature on forecasting and economic analysis.,Article discussing the importance of forecasting in the field of economics.,Economics & Forecasting
The Economic Times,"Nov 14, 2013",Making the difference,Feature on making a difference in various aspects of life.,Article focusing on initiatives and actions that can make a positive impact.,Inspirational & Social
The Economic Times,"Nov 14, 2013",BJP slams SP leaders for Narendra Modi remarks,BJP criticizes Samajwadi Party leaders for their remarks about Narendra Modi.,Report on the Bharatiya Janata Party (BJP) expressing displeasure over comments made by Samajwadi Party leaders regarding Narendra Modi.,Politics & Criticism
The Economic Times,"Nov 14, 2013",TDP leader K Siva Prasad Rao warns of bloodshed if Andhra Pradesh is bifurcated,TDP leader K Siva Prasad Rao cautions about potential bloodshed if Andhra Pradesh is bifurcated.,Coverage of TDP leader K Siva Prasad Rao's warning about the possibility of violence if Andhra Pradesh is divided.,Politics & Warning
The Economic Times,"Nov 14, 2013",New export customs system to bring down transaction cost: P Chidambaram,P Chidambaram announces a new export customs system aimed at reducing transaction costs.,Report on Finance Minister P Chidambaram's declaration of a new export customs system to minimize transaction costs.,Business & Customs
The Economic Times,"Nov 14, 2013","H&M gets Foreign Investment Promotion Board nod, plans to invest Rs 720 crore",H&M receives approval from the Foreign Investment Promotion Board (FIPB) for an investment of Rs 720 crore.,Coverage of H&M securing FIPB approval for its proposed investment of Rs 720 crore in India.,Business & Investment
The Economic Times,"Nov 14, 2013","Now, CCTVs in Corbett National Park",Introduction of CCTV surveillance in Corbett National Park.,Report on the installation of CCTV cameras in Corbett National Park for enhanced security and wildlife monitoring.,Wildlife & Technology
The Economic Times,"Nov 14, 2013","Radio Mirchi net soars 59.4%, revenue up 12.3% in September quarter",Noteworthy growth in Radio Mirchi's net profit and revenue in the September quarter.,Coverage of the substantial increase in net profit and revenue for Radio Mirchi during the September quarter.,Media & Finance
The Economic Times,"Nov 14, 2013",Rising smartphone subscriptions to boost mobile data traffic,Anticipation of increased mobile data traffic due to the rising number of smartphone subscriptions.,Report on the projected boost in mobile data traffic driven by the growing number of smartphone users.,Technology & Telecom
The Economic Times,"Nov 14, 2013","Ministry of rural development, TISS wooing women for PM’s rural development fellowship",Collaboration between the Ministry of Rural Development and TISS to encourage women to participate in PM’s rural development fellowship.,Coverage of efforts by the Ministry of Rural Development and TISS to encourage women to engage in the PM’s rural development fellowship.,Rural Development & Empowerment
The Economic Times,"Nov 14, 2013",It is sad for Indian cricket that Sachin is retiring: Nita Ambani,Nita Ambani expresses sadness over Sachin Tendulkar's retirement from cricket.,Report on Nita Ambani's sentiment about the retirement of Sachin Tendulkar and its impact on Indian cricket.,Sports & Emotion
The Economic Times,"Feb 15, 2014","Allow stray tiger to mate in zoo, experts say",Experts recommend allowing a stray tiger to mate in the zoo.,Report on experts suggesting the idea of allowing a stray tiger to mate within the confines of a zoo.,Wildlife & Conservation
The Economic Times,"Feb 15, 2014","Nancy Powell's meeting with Narendra Modi 'pragmatic', 'necessary step': Reports",Reports describe Nancy Powell's meeting with Narendra Modi as a pragmatic and necessary step.,Coverage of reports characterizing the meeting between Nancy Powell and Narendra Modi as a pragmatic and essential step.,Diplomacy & Politics
The Economic Times,"Feb 15, 2014",People will want Arvind Kejriwal to be prime ministerial candidate: AAP's ideologue Yogendra Yadav,AAP's ideologue Yogendra Yadav states that people will want Arvind Kejriwal as the prime ministerial candidate.,Report on Yogendra Yadav's statement that people will desire Arvind Kejriwal as the prime ministerial candidate.,Politics & AAP
The Economic Times,"Feb 15, 2014",Delhi govt favours commutation of death sentence of Devinderpal Singh Bhullar,Delhi government supports the commutation of the death sentence of Devinderpal Singh Bhullar.,Report on the Delhi government advocating for the commutation of the death sentence of Devinderpal Singh Bhullar.,Politics & Legal
The Economic Times,"Feb 15, 2014",Widespread discrimination by India against US exports: NAM,National Association of Manufacturers (NAM) alleges widespread discrimination by India against US exports.,Coverage of NAM accusing India of widespread discrimination against exports from the United States.,Trade & Diplomacy
The Economic Times,"Feb 15, 2014",Indian policy on clinical research restrictive: US pharma companies,US pharma companies find Indian policy on clinical research restrictive.,Report on US pharmaceutical companies expressing concerns about the restrictive nature of Indian policies on clinical research.,Healthcare & Pharma
The Economic Times,"Feb 15, 2014",DLF Q3 profit down 49 pc on loss provision for DDA settlement,DLF reports a 49% decline in Q3 profit due to loss provision for DDA settlement.,"Coverage of DLF's Q3 financial results, revealing a 49% decrease in profit attributed to loss provision for DDA settlement.",Real Estate & Finance
The Economic Times,"Feb 15, 2014","SAIL Q3 profit up 10% to Rs 533cr on higher sales, better price",SAIL's Q3 profit rises by 10% to Rs 533 crore on higher sales and better prices.,"Report on SAIL's Q3 financial performance, with a 10% increase in profit driven by higher sales and improved prices.",Metals & Finance
The Economic Times,"Feb 15, 2014",Forex reserves higher at $292.3 bn,India's forex reserves reach $292.3 billion.,Brief on India's forex reserves reaching $292.3 billion.,Finance & Economy
The Economic Times,"Feb 15, 2014","SBI Q3 profit slides 34%, warns of more pain ahead","SBI's Q3 profit declines by 34%, and the bank warns of more challenges ahead.",Coverage of State Bank of India (SBI) reporting a 34% decline in Q3 profit and cautioning about future difficulties.,Banking & Finance
The Economic Times,"Feb 15, 2014",Wholesale inflation drops to 8-month low of 5.05% in January,Wholesale inflation in India drops to an 8-month low of 5.05% in January.,Report on the decline in wholesale inflation to an 8-month low of 5.05% in January in India.,Economy & Inflation
The Economic Times,"Feb 15, 2014",Blues music is about being alive and making it to the next day: Musician Jimmie Vaughan,Musician Jimmie Vaughan discusses the essence of blues music.,Feature on musician Jimmie Vaughan sharing insights into the spirit of blues music.,Music & Lifestyle
The Economic Times,"Feb 15, 2014",Arvind Kejriwal quits as Delhi CM after Jan Lokpal fiasco,Arvind Kejriwal resigns as Delhi Chief Minister following the Jan Lokpal Bill fiasco.,Report on Arvind Kejriwal stepping down as Delhi Chief Minister after the Jan Lokpal Bill controversy.,Politics & Governance
The Economic Times,"Feb 15, 2014",Most companies view India as massive opportunity: USIBC,US India Business Council (USIBC) states that most companies view India as a massive opportunity.,Coverage of the USIBC highlighting that the majority of companies see India as a significant business opportunity.,Business & Investment
The Economic Times,"Feb 15, 2014",DRDO set to harness ocean power,DRDO (Defense Research and Development Organisation) aims to harness ocean power.,Report on DRDO's initiative to harness power from the ocean.,Technology & Defense
The Economic Times,"Feb 15, 2014","Drop in temperature to push up wheat, pulses production",Anticipation of increased wheat and pulses production due to a drop in temperature.,Coverage of expectations for higher wheat and pulses production resulting from a decrease in temperature.,Agriculture & Weather
The Economic Times,"20 Aug, 2014","""PM Narendra Modi invites ideas from people on institution to replace the Plan Panel""",PM Modi seeks public ideas on the formation of a new institution to replace the Planning Commission.,PM Narendra Modi invites public suggestions for the replacement of the Planning Commission.,Political and Governance
The Economic Times,"20 Aug, 2014","""US Open 2014: Will Roger Federer get another trophy for his kids?""",Speculation on whether Roger Federer will win another US Open trophy for his children.,Will Roger Federer secure another US Open trophy for his kids?,Sports and Entertainment
The Economic Times,"20 Aug, 2014","""HDFC Bank tops WPP’s BrandZ report with value of $9.4 billion""",HDFC Bank secures the top position in WPP’s BrandZ report with a value of $9.4 billion.,HDFC Bank leads WPP’s BrandZ report with a valuation of $9.4 billion.,Business and Finance
The Economic Times,"20 Aug, 2014","""CBI likely to close coal block allocation case against Kumar Mangalam Birla, PC Parakh""",CBI is considering closing the coal block allocation case against Kumar Mangalam Birla and PC Parakh.,CBI may close the coal block allocation case involving Kumar Mangalam Birla and PC Parakh.,Legal and Business
The Economic Times,"20 Aug, 2014","""Starbucks to raise authorized capital to Rs 350 crore""",Starbucks plans to increase authorized capital to Rs 350 crore.,Starbucks aims to raise authorized capital to Rs 350 crore.,Business and Finance
The Economic Times,"20 Aug, 2014","""Scale of PM Narendra Modi’s election success has added more certainty: WPP’s CEO Martin Sorrell""",WPP’s CEO Martin Sorrell discusses how the scale of PM Narendra Modi’s election success has increased certainty in the market.,Martin Sorrell of WPP talks about how PM Modi's election success has positively impacted market certainty.,Political and Business
The Economic Times,"20 Aug, 2014","""Imran Khan, Tahirul Qadri march to Parliament inside Islamabad's 'Red Zone'""",Imran Khan and Tahirul Qadri lead a march to Parliament in Islamabad's 'Red Zone' for a political protest.,Imran Khan and Tahirul Qadri march to Parliament in Islamabad's 'Red Zone' to protest for political changes.,Political
The Economic Times,"20 Aug, 2014","""Sebi in a better position to crack down on securities law violators: UK Sinha, Chairman""",Sebi Chairman UK Sinha expresses confidence in Sebi's ability to crack down on securities law violators.,"UK Sinha, Sebi's Chairman, is optimistic about Sebi's capacity to take action against securities law violators.",Business and Finance
The Economic Times,"20 Aug, 2014","""G20 countries expected to cite food security to make India take a relook at its WTO stance""","G20 countries likely to highlight food security, prompting India to reconsider its WTO stance.",G20's focus on food security may lead India to review its WTO position.,International Relations
The Economic Times,"20 Aug, 2014","""RIL implements five-day week policy to retain top staff""",Reliance Industries Ltd (RIL) adopts a five-day workweek to retain key employees.,RIL introduces a five-day workweek to retain top talent.,Business and Employment
The Economic Times,"20 Aug, 2014","""Wipro scouts opportunities in Canada to offset US blues""",Wipro explores business opportunities in Canada to counter challenges in the US market.,Wipro looks to Canada for opportunities amid challenges in the US.,Business and Global Expansion
The Economic Times,"20 Aug, 2014","""Five things we've learnt from the English Premier League""",Insights into five key takeaways from the English Premier League.,Highlights and lessons from the English Premier League.,Sports and Entertainment
The Economic Times,"20 Aug, 2014","""No set of rules remains relevant all the time: SS Mundra, Deputy Governor, RBI""","SS Mundra, Deputy Governor of RBI, emphasizes that rules are not universally applicable forever.",Deputy Governor SS Mundra underscores the evolving nature of rules.,Banking and Regulations
The Economic Times,"20 Aug, 2014","""American Tower Corp emerges as leader in race for Viom with Rs 19,000-crore bid""","American Tower Corp takes the lead in the bid for Viom with a Rs 19,000-crore offer.","American Tower Corp leads the race for Viom with a bid of Rs 19,000 crore.",Business and Acquisitions
The Economic Times,"20 Aug, 2014","""RBI governor Raghuram Rajan reassures staff, reiterates need for restructuring""",RBI Governor Raghuram Rajan assures staff and emphasizes the necessity of restructuring.,RBI Governor Raghuram Rajan reaffirms the need for organizational restructuring.,Banking and Leadership
The Economic Times,"20 Aug, 2014","""Village Council vote on Mahan coal mine project called off""",Voting on the Mahan coal mine project by the Village Council is canceled.,Village Council cancels the vote on the Mahan coal mine project.,Environmental and Local Governance
The Economic Times,"20 Aug, 2014","""Silver demand falls 75% in current fiscal; Traders blame poor monsoon and robust equity market""","Silver demand drops by 75% due to poor monsoon and a strong equity market, according to traders.",Traders attribute a 75% decline in silver demand to monsoon failure and a robust equity market.,Business and Commodities
The Economic Times,"20 Aug, 2014","""PepsiCo CEO Indra Nooyi to meet Prime Minister Narendra Modi next week""",PepsiCo CEO Indra Nooyi scheduled to meet Prime Minister Narendra Modi in the upcoming week.,"Indra Nooyi, CEO of PepsiCo, set to meet PM Narendra Modi next week.",Business and Leadership
The Economic Times,"17 Dec, 2014","""PM Narendra Modi speaks to Nawaz Sharif, says Peshawar incident an assault on entire humanity""","PM Modi contacts Nawaz Sharif, describing the Peshawar incident as an attack on humanity.","PM Modi reaches out to Nawaz Sharif, condemning the Peshawar incident as an assault on humanity.",International Relations and Security
The Economic Times,"17 Dec, 2014","""Parliament panel seeks review of disinvestment policy""",Parliamentary panel calls for a review of the disinvestment policy.,Parliamentary committee urges a reassessment of the disinvestment policy.,Government Policy and Economy
The Economic Times,"17 Dec, 2014","""IREDA to raise Rs 1,500 crore via tax-free bonds next fiscal""","IREDA plans to raise Rs 1,500 crore through tax-free bonds in the next fiscal year.","IREDA aims to raise funds with a Rs 1,500 crore tax-free bond issuance in the upcoming fiscal.",Business and Finance
The Economic Times,"17 Dec, 2014","""US in touch with Pakistan to offer assistance after attack""",The US reaches out to Pakistan to provide assistance following the attack.,US offers support to Pakistan in the aftermath of the attack.,International Relations and Security
The Economic Times,"17 Dec, 2014","""Pakistan school attack: Nobel Peace prize winner Malala Yousafzai 'heartbroken'""","Malala Yousafzai, Nobel Peace Prize winner, expresses heartbreak over the Pakistan school attack.",Malala Yousafzai expresses sorrow over the tragic school attack in Pakistan.,Humanitarian and Tragedy
The Economic Times,"17 Dec, 2014","""HC allows Xiaomi to sell Qualcomm-based handsets till January 8""",High Court permits Xiaomi to sell Qualcomm-based handsets until January 8.,Xiaomi granted permission to sell Qualcomm-based handsets until January 8 by the High Court.,Business and Legal
The Economic Times,"17 Dec, 2014","""Tigress drowns in farm well near Tadoba""",A tigress drowns in a farm well near Tadoba.,Tragic incident as a tigress drowns in a farm well near Tadoba.,Environmental and Wildlife
The Economic Times,"17 Dec, 2014","""Public Sector Banks lost Rs 2,417 crore due to fraud in first quarter""","Public Sector Banks report a loss of Rs 2,417 crore due to fraud in the first quarter.","Public Sector Banks suffer a Rs 2,417 crore loss in Q1 due to fraud.",Banking and Finance
The Economic Times,"17 Dec, 2014","""Focus on existing SEZs, instead of new approvals: ICRIER Report""",ICRIER Report recommends focusing on existing SEZs rather than new approvals.,ICRIER Report suggests prioritizing existing SEZs over new approvals.,Business and Economy
The Economic Times,"17 Dec, 2014","""Gold Imports: Government to study effect of 80:20 rule revision""",Government to study the impact of revising the 80:20 rule on gold imports.,Government assesses the effects of revising the 80:20 rule on gold imports.,Government Policy and Economy
The Economic Times,"17 Dec, 2014","""Disruption halts Insurance Bill in Rajya Sabha""",Disruption in Rajya Sabha halts the progress of the Insurance Bill.,"Rajya Sabha faces disruption, leading to a halt in the Insurance Bill proceedings.",Government Policy and Legislation
The Economic Times,"17 Dec, 2014","""Terrorists attack Peshawar school to avenge deaths of its fighters""",Terrorists attack Peshawar school in retaliation for the deaths of their fighters.,Peshawar school attacked by terrorists seeking revenge for the deaths of their comrades.,International Relations and Security
The Economic Times,"17 Dec, 2014","""Gold rebounds from year’s biggest drop on demand for haven""",Gold bounces back from the year's largest drop due to increased demand for a safe haven.,Increased demand for a safe haven causes gold to recover from its biggest drop of the year.,Business and Finance
The Economic Times,"17 Dec, 2014","""Raids at TaxiForSure offices in Bengaluru""",Raids conducted at TaxiForSure offices in Bengaluru.,TaxiForSure offices in Bengaluru raided by authorities.,Business and Legal
The Economic Times,"17 Dec, 2014","""These are our children who have been murdered in Peshawar attack: Kailash Satyarthi""",Kailash Satyarthi mourns the children killed in the Peshawar attack.,Kailash Satyarthi expresses grief over the children murdered in the Peshawar attack.,Humanitarian and Tragedy
The Economic Times,"17 Dec, 2014","""IBM set to equip, market Apple devices in strategic India tie-up""",IBM to collaborate with Apple in equipping and marketing devices in India.,IBM and Apple enter a strategic collaboration to equip and market devices in India.,Business and Technology
The Economic Times,"17 Dec, 2014","""Pharma companies with big exposure to Russia fall with the rouble""",Pharma companies with significant exposure to Russia experience a decline with the fall of the rouble.,Pharma firms with substantial exposure to Russia face a downturn alongside the weakening rouble.,Business and Economy
The Economic Times,"17 Dec, 2014","""Use space technology to improve administrative performance, Cabinet secretary Ajit Seth tells babus""",Cabinet Secretary Ajit Seth urges the use of space technology to enhance administrative performance.,Cabinet Secretary Ajit Seth recommends leveraging space technology for improved administrative efficiency.,Government and Technology
The Economic Times,"17 Dec, 2014","""With crude slipping below $60/barrel, HPCL, BPCL get a rise""",Crude oil falling below $60/barrel leads to a rise for HPCL and BPCL.,HPCL and BPCL experience gains as crude oil dips below $60/barrel.,Business and Energy
The Economic Times,"17 Dec, 2014","""PSBs told to offer net, mobile banking services in Hindi also""",Public Sector Banks instructed to provide net and mobile banking services in Hindi.,PSBs directed to offer banking services in Hindi on net and mobile platforms.,Banking and Government Policy
The Economic Times,"7 Mar, 2015","""Super lightweight efficient supercars dominate 2015 Geneva International Motor Show""",Super lightweight and efficient supercars take the spotlight at the 2015 Geneva International Motor Show.,The 2015 Geneva International Motor Show showcases dominance of super lightweight and efficient supercars.,Automotive and Events
The Economic Times,"7 Mar, 2015","""What the Federal Reserve was thinking during the 2009 crisis""",Insights into the Federal Reserve's thoughts during the 2009 financial crisis.,An exploration into the Federal Reserve's mindset during the 2009 financial crisis.,Finance and Analysis
The Economic Times,"7 Mar, 2015","""US February unemployment rate drops to 5.5%, lowest in seven years""","The US unemployment rate in February falls to 5.5%, reaching its lowest point in seven years.","February sees the US unemployment rate drop to 5.5%, the lowest in seven years.",Economy and Employment
The Economic Times,"7 Mar, 2015","""Transport industry seeks clarity on tax deducted at source rules""",The transport industry seeks clarification on tax deducted at source rules.,The transport sector requests clarity on rules related to tax deducted at source.,Business and Taxation
The Economic Times,"7 Mar, 2015","""From online salad meals to desi gathiya pizza, food startups now have healthy, creative options on their menu""","Food startups introduce creative and healthy options, from online salad meals to desi gathiya pizza.","Creative and healthy food choices offered by startups, from online salads to desi gathiya pizza.",Business and Food Industry
The Economic Times,"7 Mar, 2015","""The flip side: Lower corporate tax may not be good news for companies with loss-making subsidiaries""",Lower corporate tax might not benefit companies with loss-making subsidiaries.,Reduction in corporate tax may not be advantageous for firms with loss-making subsidiaries.,Business and Taxation
The Economic Times,"7 Mar, 2015","""Gautam Adani, Dilip Shanghvi have emerged top gainers in energy and healthcare segment of Billionaire Index""",Gautam Adani and Dilip Shanghvi top gainers in the energy and healthcare segment of the Billionaire Index.,Adani and Shanghvi lead the Billionaire Index gains in energy and healthcare sectors.,Business and Wealth
The Economic Times,"7 Mar, 2015","""New ventures like Experifun, Magic Crate offer services and products that cater to children""","Experifun and Magic Crate, among new ventures, provide services and products catering to children.","New ventures, including Experifun and Magic Crate, focus on products and services for children.",Business and Children
The Economic Times,"7 Mar, 2015","""Tourists getting noticed: India's mobility score rises to 50 from 32 in 2008, says UN's Visa Openness Report""","India's mobility score rises to 50 from 32 in 2008, according to the UN's Visa Openness Report.","UN's Visa Openness Report notes India's improved mobility score, rising from 32 to 50 since 2008.",Travel and Reports
The Economic Times,"7 Mar, 2015","""Flipkart acquires mobile ad network AdIQuity to beef up its advertising muscle""","Flipkart acquires AdIQuity, a mobile ad network, to strengthen its advertising capabilities.",Flipkart boosts its advertising strength by acquiring mobile ad network AdIQuity.,Business and Acquisitions
The Economic Times,"7 Mar, 2015","""Wary of external risks to projects, Banks may hike infrastructure funding rates""",Banks may increase infrastructure funding rates due to concerns about external risks to projects.,Banks consider raising infrastructure funding rates amid concerns about external project risks.,Finance and Infrastructure
The Economic Times,"7 Mar, 2015","""Capex cut may hit Cairn India’s profit and production growth""",Cairn India's profit and production growth may be affected by a reduction in capital expenditure.,Cairn India's profit and production growth could face obstacles due to a cut in capital expenditure.,Business and Energy Sector
The Economic Times,"7 Mar, 2015","""Ambience Group may list commercial assets as real estate investment trust""",Ambience Group contemplates listing commercial assets as a real estate investment trust.,Ambience Group considers listing commercial assets as part of a real estate investment trust.,Business and Real Estate
The Economic Times,"7 Mar, 2015","""Unicon Securities owes bourses over Rs 100 crore""",Unicon Securities has outstanding dues of over Rs 100 crore to stock exchanges.,Unicon Securities owes stock exchanges over Rs 100 crore in outstanding dues.,Finance and Stock Exchanges
The Economic Times,"7 Mar, 2015","""Inox Wind plans Rs 1,000 crore initial public offering""","Inox Wind plans an initial public offering (IPO) of Rs 1,000 crore.","Inox Wind outlines a Rs 1,000 crore IPO plan.",Business and IPO
The Economic Times,"7 Mar, 2015","""Limited options in food and lifestyle for Japanese investors and employees in Gujarat""",Japanese investors and employees in Gujarat face limited options in food and lifestyle.,Limited food and lifestyle choices for Japanese investors and employees in Gujarat.,Business and Lifestyle
The Economic Times,"7 Mar, 2015","""Mitochondrial DNA: Implications & ethics of advancing technology and creating designer babies""",Discussion on the implications and ethics of advancing technology and creating designer babies through mitochondrial DNA.,Exploring the ethical implications of using mitochondrial DNA for creating designer babies.,Science and Ethics
The Economic Times,"7 Mar, 2015","""BJP looks to expand its base in Tamil Nadu but not keen on forging alliances""",BJP aims to expand its base in Tamil Nadu but shows reluctance to form alliances.,BJP eyes base expansion in Tamil Nadu without expressing strong interest in forming alliances.,Politics and Strategy
The Economic Times,"7 Mar, 2015","""Prime Minister Narendra Modi cancels Maldives trip due to political unrest""",PM Narendra Modi cancels Maldives trip due to ongoing political unrest in the country.,PM Modi cancels Maldives visit citing political unrest as the reason.,Politics and International Relations
The Economic Times,"7 Mar, 2015","""Tension runs high as mob lynches rapist to death in Nagaland""",Tension escalates as a mob lynches a rapist to death in Nagaland.,"High tension in Nagaland as a mob takes the law into its own hands, lynching a rapist.",Crime and Justice
The Tribune,"January 11, 2006","""114 grenades dug out from SGPC complex""",114 live grenades and three boxes of explosives were found during the construction of the new administrative block in the SGPC complex near the Golden Temple in Amritsar.,Discovery of 114 live grenades and explosives during construction in the SGPC complex in Amritsar.,Security and Local News
The Tribune,"January 11, 2006","""DD not to show Indo-Pak Test series live""","Doordarshan will not broadcast the India-Pakistan Test series live, settling with Ten Sports for 90-minute highlights after each day's play.","Doordarshan opts not to air live coverage of India-Pakistan Test series, agreeing to show 90-minute highlights on Ten Sports.",Sports and Broadcasting
The Tribune,"January 11, 2006","""Food subsidy cut on hold, says Pawar""","The government, under pressure from Left parties and UPA allies, delays the decision to reduce foodgrain quantity under the public distribution system, preserving a subsidy of Rs 4,500 crore.",Government puts on hold the decision to cut food subsidy under public distribution system amid pressure from Left parties and UPA allies.,Politics and Economy
The Tribune,"January 11, 2006","""Somnath calls for all-party meet to discuss HC notice""",Lok Sabha Speaker Somnath Chatterjee calls for an all-party meeting on January 20 to discuss the Delhi High Court notice on the expulsion of MPs in the cash-for-query case.,Lok Sabha Speaker initiates all-party meeting to address the Delhi High Court notice regarding the expulsion of MPs in the cash-for-query case.,Politics
The Tribune,"January 11, 2006","""PM, President extend Eid greetings""",President A.P.J. Abdul Kalam and Prime Minister Manmohan Singh extend Eid-ul-Zuha greetings to the nation.,President and Prime Minister extend warm greetings to the nation on the occasion of Eid-ul-Zuha.,Festivals and Politics
The Tribune,"January 11, 2006","""Left parties for tax on ‘luxury’ goods""","Left parties propose a tax on 'luxury' goods, cars, services, and stock market transactions to fund social sector projects.","Communists suggest imposing taxes on 'luxury' items, cars, services, and stock market transactions to finance social sector initiatives.",Economics and Politics
The Tribune,"January 11, 2006","""IAF clears ‘Rang De Basanti’""","The Indian Air Force approves the screening of the movie ""Rang De Basanti"" starring Aamir Khan.","Indian Air Force gives clearance for the screening of Aamir Khan's movie ""Rang De Basanti.""",Entertainment and Military
The Tribune,"January 11, 2006","""DD not to show Indo-Pak Test series live""","Doordarshan decides not to broadcast the India-Pakistan Test series live, settling with Ten Sports to show 90-minute highlights after the day's play.","Doordarshan opts not to air live coverage of India-Pakistan Test series, agreeing with Ten Sports for 90-minute highlights.",Sports and Broadcasting
The Tribune,"January 11, 2006","""Indian camp tightlipped over team composition""",Indian cricket camp remains silent about the team composition for an upcoming event.,"Indian cricket team keeps mum on the squad composition, creating anticipation and speculation.",Sports
The Tribune,"January 11, 2006","""Food subsidy cut on hold, says Pawar""","The government, under pressure from Left parties and UPA allies, postpones the decision to reduce foodgrains under the public distribution system, amounting to a subsidy of Rs 4,500 crore.",Government delays the decision to cut food subsidy due to pressure from Left parties and UPA allies.,Politics and Economics
The Tribune,"January 11, 2006","""114 grenades dug out from SGPC complex""",114 live grenades and three boxes of explosives found during the construction of the new administrative block in the SGPC complex near the Golden Temple in Amritsar.,Uncovered explosives and live grenades during construction at SGPC complex near Golden Temple raise security concerns.,Security and Local News
The Tribune,"January 11, 2006","""HC notice to Houses on MPs’ expulsion""","Delhi High Court issues notice to Rajya Sabha, Lok Sabha, Election Commission, and the Centre on the expulsion of MPs in the cash-for-query case.",Delhi High Court sends notice to various institutions regarding the expulsion of MPs in the cash-for-query case.,Legal and Political
The Tribune,"January 11, 2006","""Speaker rules out court jurisdiction""",Lok Sabha Speaker Somnath Chatterjee rules out the jurisdiction of the court in the expulsion of MPs case.,Speaker Somnath Chatterjee denies the court's jurisdiction in the case of MPs' expulsion.,Legal and Political
The Tribune,"January 11, 2006","""PM promises voting rights to NRIs""",Prime Minister Manmohan Singh promises voting rights for Non-Resident Indians (NRIs).,"PM Manmohan Singh assures voting rights for Non-Resident Indians, addressing a long-standing demand.",Politics
The Tribune,"January 11, 2006","""Natwar not included in revamped CWC""",Former Foreign Minister Natwar Singh is not included in the revamped Congress Working Committee (CWC).,Natwar Singh excluded from the restructured Congress Working Committee (CWC).,Politics
